Goroka,Goroka,Papua New Guinea,GKA,-6.081689,145.391881
Madang,Madang,Papua New Guinea,MAG,-5.207083,145.7887
Mount Hagen,Mount Hagen,Papua New Guinea,HGU,-5.826789,144.295861
Nadzab,Nadzab,Papua New Guinea,LAE,-6.569828,146.726242
Port Moresby Jacksons Intl,Port Moresby,Papua New Guinea,POM,-9.443383,147.22005
Wewak Intl,Wewak,Papua New Guinea,WWK,-3.583828,143.669186
Narsarsuaq,Narssarssuaq,Greenland,UAK,61.160517,-45.425978
Nuuk,Godthaab,Greenland,GOH,64.190922,-51.678064
Sondre Stromfjord,Sondrestrom,Greenland,SFJ,67.016969,-50.689325
Thule Air Base,Thule,Greenland,THU,76.531203,-68.703161
Akureyri,Akureyri,Iceland,AEY,65.659994,-18.072703
Egilsstadir,Egilsstadir,Iceland,EGS,65.283333,-14.401389
Hornafjordur,Hofn,Iceland,HFN,64.295556,-15.227222
Husavik,Husavik,Iceland,HZK,65.952328,-17.425978
Isafjordur,Isafjordur,Iceland,IFJ,66.058056,-23.135278
Keflavik International Airport,Keflavik,Iceland,KEF,63.985,-22.605556
Patreksfjordur,Patreksfjordur,Iceland,PFJ,65.555833,-23.965
Reykjavik,Reykjavik,Iceland,RKV,64.13,-21.940556
Siglufjordur,Siglufjordur,Iceland,SIJ,66.133333,-18.916667
Vestmannaeyjar,Vestmannaeyjar,Iceland,VEY,63.424303,-20.278875
Sault Ste Marie,Sault Sainte Marie,Canada,YAM,46.485001,-84.509445
Winnipeg St Andrews,Winnipeg,Canada,YAV,50.056389,-97.0325
Shearwater,Halifax,Canada,YAW,44.639721,-63.499444
St Anthony,St. Anthony,Canada,YAY,51.391944,-56.083056
Tofino,Tofino,Canada,YAZ,49.082222,-125.7725
Kugaaruk,Pelly Bay,Canada,YBB,68.534444,-89.808056
Baie Comeau,Baie Comeau,Canada,YBC,49.1325,-68.204444
Bagotville,Bagotville,Canada,YBG,48.330555,-70.996391
Baker Lake,Baker Lake,Canada,YBK,64.298889,-96.077778
Campbell River,Campbell River,Canada,YBL,49.950832,-125.270833
Brandon Muni,Brandon,Canada,YBR,49.91,-99.951944
Cambridge Bay,Cambridge Bay,Canada,YCB,69.108055,-105.138333
Nanaimo,Nanaimo,Canada,YCD,49.052333,-123.870167
Castlegar,Castlegar,Canada,YCG,49.296389,-117.6325
Miramichi,Chatham,Canada,YCH,47.007778,-65.449167
Charlo,Charlo,Canada,YCL,47.990833,-66.330278
Kugluktuk,Coppermine,Canada,YCO,67.816667,-115.143889
Coronation,Coronation,Canada,YCT,52.075001,-111.445278
Chilliwack,Chilliwack,Canada,YCW,49.152779,-121.93889
Clyde River,Clyde River,Canada,YCY,70.486111,-68.516667
Fairmont Hot Springs,Coral Harbour,Canada,YZS,64.193333,-83.359444
Dawson City,Dawson,Canada,YDA,64.043056,-139.127778
Burwash,Burwash,Canada,YDB,61.371111,-139.040556
Princeton,Princeton,Canada,YDC,49.468056,-120.511389
Deer Lake,Deer Lake,Canada,YDF,49.210833,-57.391388
Dease Lake,Dease Lake,Canada,YDL,58.422222,-130.032222
Dauphin Barker,Dauphin,Canada,YDN,51.100834,-100.0525
Dawson Creek,Dawson Creek,Canada,YDQ,55.742333,-120.183
Edmonton Intl,Edmonton,Canada,YEG,53.309723,-113.579722
Arviat,Eskimo Point,Canada,YEK,61.094166,-94.070833
Estevan,Estevan,Canada,YEN,49.210278,-102.965833
Edson,Edson,Canada,YET,53.578888,-116.465
Eureka,Eureka,Canada,YEU,79.994722,-85.814167
Inuvik Mike Zubko,Inuvik,Canada,YEV,68.304167,-133.482778
Iqaluit,Iqaluit,Canada,YFB,63.75639,-68.555832
Fredericton,Fredericton,Canada,YFC,45.868889,-66.537222
Forestville,Forestville,Canada,,48.746111,-69.097222
Flin Flon,Flin Flon,Canada,YFO,54.678055,-101.681667
Fort Resolution,Fort Resolution,Canada,YFR,61.180832,-113.689722
Fort Simpson,Fort Simpson,Canada,YFS,61.760153,-121.236525
Kingston,Kingston,Canada,YGK,44.225277,-76.596944
La Grande Riviere,La Grande Riviere,Canada,YGL,53.625278,-77.704167
Gaspe,Gaspe,Canada,YGP,48.775278,-64.478611
Geraldton Greenstone Regional,Geraldton,Canada,YGQ,49.778332,-86.939445
Iles De La Madeleine,Iles De La Madeleine,Canada,YGR,47.424721,-61.778056
Hudson Bay,Hudson Bay,Canada,YHB,52.816666,-102.31139
Dryden Rgnl,Dryden,Canada,YHD,49.831667,-92.744167
Ulukhaktok Holman,Holman Island,Canada,YHI,70.762778,-117.806111
Gjoa Haven,Gjoa Haven,Canada,YHK,68.635556,-95.849722
Hamilton,Hamilton,Canada,YHM,43.173611,-79.935
St Hubert,Montreal,Canada,YHU,45.5175,-73.416944
Hay River,Hay River,Canada,YHY,60.839722,-115.782778
Halifax Intl,Halifax,Canada,YHZ,44.880833,-63.50861
Atikokan Muni,Atikokan,Canada,YIB,48.773888,-91.638611
Pond Inlet,Pond Inlet,Canada,YIO,72.683334,-77.966667
St Jean,St. Jean,Canada,YJN,45.294445,-73.281111
Stephenville,Stephenville,Canada,YJT,48.544167,-58.549999
Kamloops,Kamloops,Canada,YKA,50.702222,-120.444444
Waterloo,Waterloo,Canada,YKF,43.460833,-80.378611
Schefferville,Schefferville,Canada,YKL,54.805278,-66.805278
Kindersley,Kindersley,Canada,YKY,51.5175,-109.180833
Buttonville Muni,Toronto,Canada,YKZ,43.862221,-79.37
Chapleau,Chapleau,Canada,YLD,47.82,-83.346667
Meadow Lake,Meadow Lake,Canada,YLJ,54.125278,-108.522778
Lloydminster,Lloydminster,Canada,YLL,53.309166,-110.0725
Alert,Alert,Canada,YLT,82.517778,-62.280556
Kelowna,Kelowna,Canada,YLW,49.956112,-119.377778
Mayo,Mayo,Canada,YMA,63.616389,-135.868333
Moose Jaw Air Vice Marshal C M Mcewen,Moose Jaw,Canada,YMJ,50.330278,-105.559167
Fort Mcmurray,Fort Mcmurray,Canada,YMM,56.653333,-111.221944
Moosonee,Moosonee,Canada,YMO,51.291111,-80.607778
Maniwaki,Maniwaki,Canada,YMW,46.272778,-75.990556
Montreal Intl Mirabel,Montreal,Canada,YMX,45.681944,-74.005278
Natashquan,Natashquan,Canada,YNA,50.19,-61.789167
Gatineau,Gatineau,Canada,YND,45.521694,-75.563589
Matagami,Matagami,Canada,YNM,49.761667,-77.802778
Old Crow,Old Crow,Canada,YOC,67.570556,-139.839167
Cold Lake,Cold Lake,Canada,YOD,54.404999,-110.279444
High Level,High Level,Canada,YOJ,58.621389,-117.164722
Ottawa Macdonald Cartier Intl,Ottawa,Canada,YOW,45.3225,-75.669167
Prince Albert Glass Field,Prince Albert,Canada,YPA,53.214167,-105.672778
Peace River,Peace River,Canada,YPE,56.226944,-117.447222
Southport,Portage-la-prairie,Canada,YPG,49.903056,-98.273889
Pitt Meadows,Pitt Meadows,Canada,,49.21611,-122.71
Pickle Lake,Pickle Lake,Canada,YPL,51.446388,-90.214167
Port Menier,Port Menier,Canada,YPN,49.836389,-64.288611
Peterborough,Peterborough,Canada,YPQ,44.23,-78.363333
Prince Rupert,Prince Pupert,Canada,YPR,54.28611,-130.444722
Fort Chipewyan,Fort Chipewyan,Canada,YPY,58.767223,-111.117222
Muskoka,Muskoka,Canada,YQA,44.974722,-79.303333
Quebec Jean Lesage Intl,Quebec,Canada,YQB,46.791111,-71.393333
Red Deer Regional,Red Deer Industrial,Canada,YQF,52.182222,-113.894444
Windsor,Windsor,Canada,YQG,42.275556,-82.955556
Watson Lake,Watson Lake,Canada,YQH,60.116389,-128.8225
Kenora,Kenora,Canada,YQK,49.788334,-94.363056
Lethbridge,Lethbridge,Canada,YQL,49.630278,-112.799722
Greater Moncton Intl,Moncton,Canada,YQM,46.112221,-64.678611
Comox,Comox,Canada,YQQ,49.710833,-124.886667
Regina Intl,Regina,Canada,YQR,50.431944,-104.665833
Thunder Bay,Thunder Bay,Canada,YQT,48.371944,-89.323889
Grande Prairie,Grande Prairie,Canada,YQU,55.179722,-118.885
Yorkton Muni,Yorkton,Canada,YQV,51.264721,-102.461667
North Battleford,North Battleford,Canada,YQW,52.769167,-108.24361
Gander Intl,Gander,Canada,YQX,48.936944,-54.568056
Sydney,Sydney,Canada,YQY,46.161388,-60.047779
Quesnel,Quesnel,Canada,YQZ,53.026112,-122.510278
Resolute Bay,Resolute,Canada,YRB,74.716944,-94.969444
Riviere Du Loup,Riviere Du Loup,Canada,YRI,47.764444,-69.584722
Roberval,Roberval,Canada,YRJ,48.52,-72.265556
Rocky Mountain House,Rocky Mountain House,Canada,YRM,52.429722,-114.904167
Rankin Inlet,Rankin Inlet,Canada,YRT,62.81139,-92.115833
Sudbury,Sudbury,Canada,YSB,46.625,-80.798889
Sherbrooke,Sherbrooke,Canada,YSC,45.438611,-71.691389
Saint John,St. John,Canada,YSJ,45.316111,-65.890278
Fort Smith,Fort Smith,Canada,YSM,60.020278,-111.961944
Nanisivik,Nanisivik,Canada,YSR,72.982222,-84.613611
Summerside,Summerside,Canada,YSU,46.440556,-63.833611
Sachs Harbour,Sachs Harbour,Canada,YSY,71.993889,-125.2425
Cape Dorset,Cape Dorset,Canada,YTE,64.23,-76.526667
Thompson,Thompson,Canada,YTH,55.801111,-97.864166
Trenton,Trenton,Canada,YTR,44.118889,-77.528056
Timmins,Timmins,Canada,YTS,48.569721,-81.376667
City Centre,Toronto,Canada,YTZ,43.627499,-79.396167
Tuktoyaktuk,Tuktoyaktuk,Canada,YUB,69.433334,-133.026389
Pierre Elliott Trudeau Intl,Montreal,Canada,YUL,45.470556,-73.740833
Repulse Bay,Repulse Bay,Canada,YUT,66.521389,-86.224722
Hall Beach,Hall Beach,Canada,YUX,68.776111,-81.243611
Rouyn Noranda,Rouyn,Canada,YUY,48.206111,-78.835556
La Ronge,La Ronge,Canada,YVC,55.15139,-105.261944
Vermilion,Vermillion,Canada,YVG,53.355833,-110.82389
Qikiqtarjuaq,Broughton Island,Canada,YVM,67.545833,-64.031389
Val D Or,Val D'or,Canada,YVO,48.053333,-77.782778
Kuujjuaq,Quujjuaq,Canada,YVP,58.096111,-68.426944
Norman Wells,Norman Wells,Canada,YVQ,65.281617,-126.798219
Vancouver Intl,Vancouver,Canada,YVR,49.193889,-123.184444
Buffalo Narrows,Buffalo Narrows,Canada,YVT,55.841944,-108.4175
Wiarton,Wiarton,Canada,YVV,44.745834,-81.107222
Petawawa,Petawawa,Canada,YWA,45.952221,-77.319168
Winnipeg Intl,Winnipeg,Canada,YWG,49.910036,-97.239886
Wabush,Wabush,Canada,YWK,52.921944,-66.864444
Williams Lake,Williams Lake,Canada,YWL,52.183056,-122.054167
Wrigley,Wrigley,Canada,YWY,63.209444,-123.436667
Canadian Rockies Intl,Cranbrook,Canada,YXC,49.612222,-115.781944
Edmonton City Centre,Edmonton,Canada,YXD,53.5725,-113.520556
Saskatoon J G Diefenbaker Intl,Saskatoon,Canada,YXE,52.170834,-106.699722
Medicine Hat,Medicine Hat,Canada,YXH,50.01889,-110.720833
Fort St John,Fort Saint John,Canada,YXJ,56.238056,-120.740278
Sioux Lookout,Sioux Lookout,Canada,YXL,50.113889,-91.905278
Pangnirtung,Pangnirtung,Canada,YXP,66.145,-65.713611
Timiskaming Rgnl,Earlton,Canada,YXR,47.695,-79.848889
Prince George,Prince George,Canada,YXS,53.889444,-122.678889
Terrace,Terrace,Canada,YXT,54.468508,-128.576219
London,London,Canada,YXU,43.033056,-81.151111
Abbotsford,Abbotsford,Canada,YXX,49.025278,-122.360556
Whitehorse Intl,Whitehorse,Canada,YXY,60.709553,-135.067269
North Bay,North Bay,Canada,YYB,46.363611,-79.422778
Calgary Intl,Calgary,Canada,YYC,51.113888,-114.020278
Smithers,Smithers,Canada,YYD,54.824722,-127.182778
Fort Nelson,Fort Nelson,Canada,YYE,58.836389,-122.596944
Penticton,Penticton,Canada,YYF,49.463056,-119.602222
Charlottetown,Charlottetown,Canada,YYG,46.290001,-63.121111
Taloyoak,Spence Bay,Canada,YYH,69.546667,-93.576667
Victoria Intl,Victoria,Canada,YYJ,48.646944,-123.425833
Lynn Lake,Lynn Lake,Canada,YYL,56.863888,-101.07611
Swift Current,Swift Current,Canada,YYN,50.291944,-107.690556
Churchill,Churchill,Canada,YYQ,58.739167,-94.065
Goose Bay,Goose Bay,Canada,YYR,53.319168,-60.425833
St Johns Intl,St. John's,Canada,YYT,47.61861,-52.751945
Kapuskasing,Kapuskasing,Canada,YYU,49.413889,-82.4675
Armstrong,Armstrong,Canada,YYW,50.290279,-88.909721
Mont Joli,Mont Joli,Canada,YYY,48.608612,-68.208056
Lester B Pearson Intl,Toronto,Canada,YYZ,43.677223,-79.630556
Downsview,Toronto,Canada,YZD,43.7425,-79.465556
Gore Bay Manitoulin,Gore Bay,Canada,YZE,45.885277,-82.567778
Yellowknife,Yellowknife,Canada,YZF,62.462778,-114.440278
Slave Lake,Slave Lake,Canada,YZH,55.293056,-114.777222
Sandspit,Sandspit,Canada,YZP,53.254333,-131.813833
Chris Hadfield,Sarnia,Canada,YZR,42.999444,-82.308889
Port Hardy,Port Hardy,Canada,YZT,50.680556,-127.366667
Whitecourt,Whitecourt,Canada,YZU,54.14389,-115.786667
Sept Iles,Sept-iles,Canada,YZV,50.223333,-66.265556
Teslin,Teslin,Canada,YZW,60.172779,-132.742778
Greenwood,Greenwood,Canada,YZX,44.984444,-64.916944
Faro,Faro,Canada,ZFA,62.2075,-133.375833
Fort Mcpherson,Fort Mcpherson,Canada,ZFM,67.4075,-134.860556
Blida,Blida,Algeria,,36.503613,2.814167
Bou Saada,Bou Saada,Algeria,,35.3325,4.206389
Soummam,Bejaja,Algeria,BJA,36.711997,5.069922
Houari Boumediene,Algier,Algeria,ALG,36.691014,3.215408
Tiska,Djanet,Algeria,DJG,24.292767,9.452444
Boufarik,Boufarik,Algeria,QFD,36.545834,2.876111
Reggane,Reggan,Algeria,,26.710103,0.285647
Illizi Takhamalt,Illizi,Algeria,VVZ,26.723536,8.622653
Ain Oussera,Ain Oussera,Algeria,,35.525414,2.878714
Tamanrasset,Tamanrasset,Algeria,TMR,22.811461,5.451075
Jijel,Jijel,Algeria,GJL,36.795136,5.873608
Mecheria,Mecheria,Algeria,,33.535853,-0.242353
Relizane,Relizane,Algeria,,35.752239,0.626272
Annaba,Annaba,Algeria,AAE,36.822225,7.809167
Mohamed Boudiaf Intl,Constantine,Algeria,CZL,36.276028,6.620386
Cheikh Larbi Tebessi,Tebessa,Algeria,TEE,35.431611,8.120717
Hassi R Mel,Tilrempt,Algeria,HRM,32.930431,3.311542
Bou Chekif,Tiaret,Algeria,TID,35.341136,1.463147
Bou Sfer,Bou Sfer,Algeria,,35.735389,-0.805389
Tindouf,Tindouf,Algeria,TIN,27.700372,-8.167103
Ech Cheliff,Ech-cheliff,Algeria,QAS,36.212658,1.331775
Tafaraoui,Oran,Algeria,TAF,35.542444,-0.532278
Zenata,Tlemcen,Algeria,TLM,35.016667,-1.45
Es Senia,Oran,Algeria,ORN,35.623858,-0.621183
Sidi Bel Abbes,Sidi Bel Abbes,Algeria,,35.171775,-0.593275
Ghriss,Ghriss,Algeria,MUW,35.207725,0.147142
Touat Cheikh Sidi Mohamed Belkebir,Adrar,Algeria,AZR,27.837589,-0.186414
Biskra,Biskra,Algeria,BSK,34.793289,5.738231
El Golea,El Golea,Algeria,ELG,30.571294,2.859586
Noumerat,Ghardaia,Algeria,GHA,32.384106,3.794114
Oued Irara,Hassi Messaoud,Algeria,HME,31.672972,6.140444
In Salah,In Salah,Algeria,INZ,27.251022,2.512017
Sidi Mahdi,Touggourt,Algeria,TGR,33.067803,6.088672
Laghouat,Laghouat,Algeria,LOO,33.764383,2.928344
Timimoun,Timimoun,Algeria,TMX,29.237119,0.276033
Ouargla,Ouargla,Algeria,OGX,31.917223,5.412778
In Amenas,Zarzaitine,Algeria,IAM,28.05155,9.642911
Cadjehoun,Cotonou,Benin,COO,6.357228,2.384353
Ouagadougou,Ouagadougou,Burkina Faso,OUA,12.353194,-1.512417
Bobo Dioulasso,Bobo-dioulasso,Burkina Faso,BOY,11.160056,-4.330969
Kotoka Intl,Accra,Ghana,ACC,5.605186,-0.166786
Tamale,Tamale,Ghana,TML,9.557192,-0.863214
Wa,Wa,Ghana,,10.082664,-2.507694
Sunyani,Sunyani,Ghana,NYI,7.361828,-2.328756
Takoradi,Takoradi,Ghana,TKD,4.896056,-1.774756
Abidjan Felix Houphouet Boigny Intl,Abidjan,Cote d'Ivoire,ABJ,5.261386,-3.926294
Bouake,Bouake,Cote d'Ivoire,BYK,7.7388,-5.073667
Daloa,Daloa,Cote d'Ivoire,DJO,6.792808,-6.473189
Korhogo,Korhogo,Cote d'Ivoire,HGO,9.387183,-5.556664
Man,Man,Cote d'Ivoire,MJC,7.272069,-7.587364
San Pedro,San Pedro,Cote d'Ivoire,SPY,4.746717,-6.660817
Yamoussoukro,Yamoussoukro,Cote d'Ivoire,ASK,6.903167,-5.365581
Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,9.006792,7.263172
Akure,Akure,Nigeria,AKR,7.246739,5.301008
Benin,Benin,Nigeria,BNI,6.316981,5.599503
Calabar,Calabar,Nigeria,CBQ,4.976019,8.347197
Enugu,Enugu,Nigeria,ENU,6.474272,7.561961
Gusau,Gusau,Nigeria,QUS,12.171667,6.696111
Ibadan,Ibadan,Nigeria,IBA,7.362458,3.978333
Ilorin,Ilorin,Nigeria,ILR,8.440211,4.493919
Yakubu Gowon,Jos,Nigeria,JOS,9.639828,8.86905
Kaduna,Kaduna,Nigeria,KAD,10.696025,7.320114
Mallam Aminu Intl,Kano,Nigeria,KAN,12.047589,8.524622
Maiduguri,Maiduguri,Nigeria,MIU,11.855347,13.08095
Makurdi,Makurdi,Nigeria,MDI,7.703883,8.613939
Murtala Muhammed,Lagos,Nigeria,LOS,6.577369,3.321156
Minna New,Minna,Nigeria,MXJ,9.652172,6.462256
Port Harcourt Intl,Port Hartcourt,Nigeria,PHC,5.015494,6.949594
Sadiq Abubakar Iii Intl,Sokoto,Nigeria,SKO,12.916322,5.207189
Yola,Yola,Nigeria,YOL,9.257553,12.430422
Zaria,Zaria,Nigeria,ZAR,11.130192,7.685806
Maradi,Maradi,Niger,MFQ,13.502531,7.126753
Diori Hamani,Niamey,Niger,NIM,13.481547,2.183614
Tahoua,Tahoua,Niger,THZ,14.875658,5.265358
Manu Dayak,Agadez,Niger,AJY,16.965997,8.000114
Dirkou,Dirkou,Niger,,18.968703,12.86865
Diffa,Diffa,Niger,,13.372894,12.626686
Zinder,Zinder,Niger,ZND,13.778997,8.983761
Habib Bourguiba Intl,Monastir,Tunisia,MIR,35.758056,10.754722
Carthage,Tunis,Tunisia,TUN,36.851033,10.227217
Sidi Ahmed Air Base,Bizerte,Tunisia,,37.245447,9.791453
Remada,Remada,Tunisia,,32.306156,10.382108
Gafsa,Gafsa,Tunisia,GAF,34.422022,8.822503
Gabes,Gabes,Tunisia,GAE,33.876919,10.103333
Borj El Amri,Bordj El Amri,Tunisia,,36.721339,9.943147
Zarzis,Djerba,Tunisia,DJE,33.875031,10.775461
El Borma,El Borma,Tunisia,EBM,31.704281,9.254619
Thyna,Sfax,Tunisia,SFA,34.717953,10.690972
Nefta,Tozeur,Tunisia,TOE,33.939722,8.110556
Niamtougou International,Niatougou,Togo,LRL,9.767333,1.09125
Gnassingbe Eyadema Intl,Lome,Togo,LFW,6.165611,1.254511
Deurne,Antwerp,Belgium,ANR,51.189444,4.460278
Beauvechain,Beauvechain,Belgium,,50.75861,4.768333
Kleine Brogel,Kleine Brogel,Belgium,,51.168333,5.47
Brussels Natl,Brussels,Belgium,BRU,50.901389,4.484444
Bertrix,Bertrix,Belgium,,49.891667,5.223889
Brussels South,Charleroi,Belgium,CRL,50.459197,4.453817
Chievres Ab,Chievres,Belgium,,50.575833,3.831
Koksijde,Koksijde,Belgium,,51.090278,2.652778
Florennes,Florennes,Belgium,,50.243333,4.645833
Wevelgem,Kortrijk-vevelgem,Belgium,QKT,50.817222,3.204722
Liege,Liege,Belgium,LGG,50.637417,5.443222
Oostende,Ostend,Belgium,OST,51.198889,2.862222
Zutendaal,Zutendaal,Belgium,,50.9475,5.590556
Sint Truiden,Sint-truiden,Belgium,,50.791944,5.201667
Saint Hubert Mil,St.-hubert,Belgium,,50.035833,5.404167
Ursel,Ursel,Belgium,,51.144133,3.474361
Weelde,Weelde,Belgium,,51.394783,4.960194
Zoersel,Zoersel,Belgium,,51.264722,4.753333
Bautzen,Bautzen,Germany,BBJ,51.193531,14.519747
Altenburg Nobitz,Altenburg,Germany,AOC,50.981817,12.506361
Dessau,Dessau,Germany,,51.831828,12.184033
Eisenhuttenstadt,Eisenhuettenstadt,Germany,,52.197333,14.585667
Grossenhain,Suhl,Germany,,51.308111,13.554973
Merseburg,Muehlhausen,Germany,,51.363,11.940833
Halle Oppin,Halle,Germany,,51.552,12.052667
Riesa Gohlis,Riesa,Germany,,51.2935,13.356
Rechlin Larz,Rechlin-laerz,Germany,,53.306417,12.753139
Strausberg,Strausberg,Germany,,52.579978,13.915683
Schonhagen,Schoenhagen,Germany,,52.203258,13.158408
Barth,Barth,Germany,BBH,54.33754,12.699705
Jena Schongleina,Jena,Germany,,50.915161,11.714519
Kyritz,Kyritz,Germany,,52.918833,12.425333
Magdeburg,Magdeburg,Germany,,52.073658,11.626467
Rothenburg Gorlitz,Rothenburg/ol,Germany,,51.363167,14.95
Anklam,Anklam,Germany,,53.8327,13.669131
Cottbus Drewitz,Cottbus,Germany,,51.889475,14.531986
Kamenz,Kamenz,Germany,,51.29625,14.129
Schonefeld,Berlin,Germany,SXF,52.380001,13.5225
Dresden,Dresden,Germany,DRS,51.132767,13.767161
Erfurt,Erfurt,Germany,ERF,50.979811,10.958106
Frankfurt Main,Frankfurt,Germany,FRA,50.026421,8.543125
Munster Osnabruck,Munster,Germany,FMO,52.134642,7.684831
Hamburg,Hamburg,Germany,HAM,53.630389,9.988228
Tempelhof,Berlin,Germany,THF,52.473025,13.403944
Koln Bonn,Cologne,Germany,CGN,50.865917,7.142744
Dusseldorf,Duesseldorf,Germany,DUS,51.289453,6.766775
Franz Josef Strauss,Munich,Germany,MUC,48.353783,11.786086
Nurnberg,Nuernberg,Germany,NUE,49.4987,11.066897
Leipzig Halle,Leipzig,Germany,LEJ,51.432447,12.241633
Saarbrucken,Saarbruecken,Germany,SCN,49.214553,7.109508
Stuttgart,Stuttgart,Germany,STR,48.689878,9.221964
Tegel,Berlin,Germany,TXL,52.559686,13.287711
Hannover,Hannover,Germany,HAJ,52.461056,9.685078
Neuenland,Bremen,Germany,BRE,53.0475,8.786667
Egelsbach,Egelsbach,Germany,,49.960833,8.6415
Frankfurt Hahn,Hahn,Germany,HHN,49.948672,7.263892
Mannheim City,Mannheim,Germany,MHG,49.472706,8.514264
Allendorf Eder,Allendorf,Germany,,51.034878,8.680839
Worms,Worms,Germany,,49.606511,8.3684
Mainz Finthen,Mainz,Germany,,49.968931,8.148336
Eisenach Kindel,Eisenach,Germany,,50.992797,10.472711
Siegerland,Siegerland,Germany,,50.707658,8.082969
Hamburg Finkenwerder,Hamburg,Germany,XFW,53.535886,9.837025
Kiel Holtenau,Kiel,Germany,KEL,54.3795,10.145167
Lubeck Blankensee,Luebeck,Germany,LBC,53.805367,10.719222
Dahlemer Binz,Dahlemer Binz,Germany,,50.405888,6.528083
Meinerzhagen,Meinerzhagen,Germany,,51.099445,7.601944
Arnsberg Menden,Arnsberg,Germany,ZCA,51.483333,7.899333
Essen Mulheim,Essen,Germany,ESS,51.402333,6.937333
Bielefeld,Bielefeld,Germany,,51.964833,8.544833
Monchengladbach,Moenchengladbach,Germany,MGL,51.230356,6.504494
Paderborn Lippstadt,Paderborn,Germany,PAD,51.614089,8.616317
Stadtlohn Vreden,Stadtlohn,Germany,,51.995844,6.840667
Dortmund,Dortmund,Germany,DTM,51.518314,7.612242
Augsburg,Augsburg,Germany,AGB,48.425158,10.931764
Biberach An Der Riss,Biberach,Germany,,48.111,9.762833
Eggenfelden,Eggenfelden,Germany,,48.396167,12.723667
Mindelheim Mattsies,Mindelheim,Germany,,48.108833,10.524333
Oberpfaffenhofen,Oberpfaffenhofen,Germany,OBF,48.081364,11.283067
Straubing,Straubing,Germany,,48.90095,12.518186
Vilshofen,Vilshofen,Germany,,48.635167,13.195667
Leutkirch Unterzeil,Leutkirch,Germany,,47.859117,10.014572
Friedrichshafen,Friedrichshafen,Germany,FDH,47.671317,9.511486
Schwerin Parchim,Parchim,Germany,SZW,53.426997,11.783436
Stendal Borstel,Stendal,Germany,ZSN,52.627778,11.818333
