"Airbus A380 Private Jet","Airbus","120","Air France"
"Airbus A340 300","Airbus","295","Air France"
"Airbus A340 500","Airbus","372","Air France"
"Airbus A340 500 HGW","Airbus","372","Air France"
"Airbus A340 600","Airbus","420","Air France"
"Airbus A340 600 HGW","Airbus","420","Air France"
"Airbus A380","Airbus","525","Air France"
"Airbus A380 900","Airbus","900","Air France"
"Airbus A380 800","Airbus","853","Air France"
"Boeing 747 400","Boeing","624","Air France"
"Boeing 747 400ER","Boeing","624","Air France"
"Boeing 747 8","Boeing","700","Air France"
"Boeing 777 200ER","Boeing","440","Air France"
"Boeing 777 200LR","Boeing","440","Air France"
"Boeing 777 300","Boeing","550","Air France"
"Boeing 777 300ER","Boeing","550","Air France"
"Tupolev Tu-334","Tupolev","102","Air France"
"Airbus A318","Airbus","117","Air France"
"Airbus A319","Airbus","156","Air France"
"Airbus A320","Airbus","180","Air France"
"Airbus A321","Airbus","220","Air France"
"Airbus A330 200","Airbus","293","Air France"
"Airbus A330 300","Airbus","335","Air France"
"Airbus A350 1000","Airbus","412","Air France"
"Airbus A350 900","Airbus","366","Air France"
"Airbus A350 XWB","Airbus","312","Air France"
"Boeing 737 600","Boeing","132","Air France"
"Boeing 737 700","Boeing","149","Air France"
"Boeing 737 800","Boeing","189","Air France"
"Boeing 737 900ER","Boeing","215","Air France"
"Boeing 737 Convertible","Boeing","149","Air France"
"Boeing 767 200","Boeing","290","Air France"
"Boeing 767 300","Boeing","351","Air France"
"Boeing 767 400","Boeing","375","Air France"
"Boeing 787 10X","Boeing","310","Air France"
"Boeing 787 3","Boeing","330","Air France"
"Boeing 787 9","Boeing","290","Air France"
"Boeing 787 Dreamliner","Boeing","250","Air France"
"Tupolev Tu-204","Tupolev","212","Air France"
